Date,Origin,Destination ,Airline,Aircraft
8/3/11,CGO,CTU,CZ,B737
8/10/11,CKG,CGO,ZH,B737
7/16/13,CGO,KMG,MU,B737
8/17/13,KMG,CAN,MU,B737
1/30/14,CGO,SYX,CZ,B737
2/4/14,SYX,CGO,CZ,B737
7/19/14,PEK,ORD,HU,B787
8/15/14,DTW,LGA,AA,ERJ140
8/18/14,LGA,DTW,AA,ERJ140
8/19/14,ORD,PEK,HU,B787
1/13/15,PEK,SHA,MU,B767
1/15/15,SHA,PEK,MU,A330
8/17/15,PEK,HKG,KA,A330
8/17/15,HKG,BOS,CX,B777
12/22/15,BOS,DCA,AA,A320
12/25/15,DCA,BOS,AA,A320
5/5/16,BOS,PVG,HU,B787
6/11/16,PVG,BOS,HU,B787
8/17/16,LGA,BUF,DL,CRJ900
8/18/16,BUF,BOS,B6,ERJ190
11/23/16,BOS,PHL,B6,ERJ190
11/24/16,PHL,BOS,B6,ERJ190
12/27/16,BOS,PVG,HU,B787
1/14/17,PVG,BOS,HU,B787
5/22/17,BOS,LGA,B6,ERJ190
5/26/17,DCA,BOS,B6,ERJ190
7/18/17,BOS,SEA,B6,A320
7/26/17,SEA,BOS,B6,A320
10/8/17,DCA,BOS,B6,ERJ190
11/5/17,BOS,ATL,B6,ERJ190
11/7/17,ATL,BOS,B6,ERJ190
12/7/17,BOS,PVG,HU,B787
12/13/17,CGO,UYN,CZ,B737
12/16/17,UYN,INC,HO,A320
12/17/17,INC,CGO,MF,B737
12/24/17,CGO,SWA,CZ,B737
12/28/17,CAN,NKG,ZH,B737
12/30/17,PVG,BOS,HU,B787
2/22/18,BOS,BNA,WN,B737
2/24/18,BNA,BOS,WN,B737
4/24/18,BOS,BNA,B6,A320
4/26/18,BNA,BOS,B6,A320
6/5/18,JFK,LAX,B6,A320
6/13/18,LAX,BOS,B6,A320
6/17/18,BOS,PVG,HU,B787
8/3/18,CGO,CTU,3U,A320
8/8/18,CTU,PVG,MU,A330
8/9/18,PVG,BOS,HU,B787
8/9/18,BOS,BNA,DL,ERJ175
11/21/18,BNA,BOS,B6,A320
11/23/18,BOS,BNA,B6,A320
12/17/18,BNA,SFO,UA,A320
12/17/18,SFO,CTU,UA,B787
12/28/18,CTU,SFO,UA,B787
12/28/18,SFO,BNA,UA,A319
3/2/19,BNA,BOS,DL,ERJ175
3/2/18,BOS,PEK,HU,B787
3/3/18,PEK,CTU,HU,A330
3/10/19,CTU,PEK,HU,A330
3/10/19,PEK,BOS,HU,B787
3/10/19,BOS,BNA,DL,ERJ175
4/27/19,BNA,ATL,DL,MD88
4/27/19,ATL,DCA,DL,A321
4/29/19,DCA,RDU,DL,CRJ700
4/29/19,RDU,BNA,DL,ERJ175
7/3/19,BNA,DTW,DL,B717
7/3/19,DTW,PVG,DL,A359
7/4/19,PVG,CTU,MU,A320
8/8/19,CTU,PEK,CZ,A330
8/8/19,PEK,DTW,DL,A359
8/8/19,DTW,BNA,DL,B717